Age,Revenu_Mensuel_Estime,Score_Fidelite,Sensibilite_Promo,Panier_Moyen,Frequence_Achat_Mois,Temps_Session_Sec,Score_Tech_Device,Taux_Abandon_Panier,Note_Satisfaction,Nombre_Pages_Vues,Jours_Depuis_Dernier_Achat
47,4061.91,26,0.34,502.74,2,455.98,1.0,0.4,5,15,226
36,4578.09,77,0.11,589.16,5,198.77,0.0,0.4,5,6,81
66,4559.45,35,0.58,664.58,2,244.22,1.0,0.43,1,8,199
42,6242.11,58,0.29,1115.62,3,709.15,1.0,0.64,3,23,131
33,4391.14,94,0.49,674.56,4,398.75,0.0,0.43,3,13,36
64,6610.22,45,0.0,954.79,2,415.5,1.0,0.47,3,13,180
71,5053.35,98,0.52,742.21,4,564.1,0.0,0.35,3,18,11
57,6881.25,29,0.0,880.32,1,363.88,0.0,0.4,3,12,218
68,5280.05,81,0.52,956.0,4,213.58,1.0,0.44,2,7,75
25,2234.21,16,0.53,454.66,1,109.02,0.0,0.28,2,3,267
35,4226.49,80,0.22,733.16,5,472.39,0.0,0.47,4,15,64
45,4113.13,51,0.48,669.55,2,326.75,1.0,0.18,2,10,154
33,5325.09,46,0.47,926.54,2,521.76,1.0,0.53,1,17,181
69,5139.58,91,0.52,815.75,4,481.69,0.0,0.52,3,16,27
36,4977.82,87,0.42,796.27,4,252.83,0.0,0.51,3,8,46
59,4677.76,36,0.65,649.8,1,595.74,1.0,0.35,3,19,207
34,3514.17,98,0.61,572.24,6,519.09,1.0,0.11,2,17,9
62,5480.81,91,0.33,984.8,2,685.85,0.0,0.42,3,22,43
30,4731.75,13,0.0,874.78,1,318.2,0.0,0.37,4,10,264
24,2399.56,35,0.49,268.12,2,106.38,1.0,0.11,4,3,195
44,5682.93,34,0.5,717.44,3,392.18,1.0,0.36,3,13,210
27,5017.07,57,0.18,767.76,4,177.1,0.0,0.38,3,5,131
51,4735.44,49,0.35,656.0,3,471.63,1.0,0.34,3,15,157
53,4929.73,5,0.3,741.28,1,423.55,1.0,0.34,4,14,304
42,2031.37,61,0.54,274.06,5,258.49,0.0,0.19,4,8,124
23,5722.65,61,0.16,802.1,3,164.81,0.0,0.42,5,5,129
41,4318.31,37,0.45,795.19,1,407.85,0.0,0.3,5,13,206
35,5483.95,84,0.08,788.15,3,240.52,1.0,0.32,3,8,48
40,3994.93,91,0.43,605.8,3,351.13,1.0,0.38,3,11,29
23,3922.89,8,0.37,435.86,1,144.47,1.0,0.37,1,4,287
46,5363.06,12,0.35,1048.9,1,194.75,1.0,0.52,4,6,283
42,4221.08,79,0.65,474.11,2,307.82,1.0,0.24,4,10,67
72,4314.81,22,0.74,630.97,1,463.64,1.0,0.5,3,15,246
34,4234.13,95,0.49,724.96,4,535.45,0.0,0.27,4,17,34
63,4105.59,32,0.28,531.81,1,319.87,0.0,0.22,4,10,218
41,3777.2,53,0.81,554.99,2,229.11,0.0,0.31,4,7,150
28,3490.0,44,0.64,676.53,1,192.76,0.0,0.47,3,6,184
43,4798.96,47,0.29,708.77,2,364.39,1.0,0.33,5,12,164
68,5077.0,84,0.3,834.24,4,24.16,1.0,0.43,4,0,63
51,3820.68,67,0.39,443.57,2,491.6,1.0,0.09,5,16,112
45,4987.78,60,0.52,798.7,3,466.66,1.0,0.41,4,15,130
20,4452.25,98,0.64,908.42,5,114.8,0.0,0.32,3,3,20
28,2733.62,51,0.72,544.46,1,164.44,0.0,0.02,3,5,155
55,5219.07,45,0.57,916.61,1,329.65,0.0,0.61,4,10,175
31,4992.45,43,0.36,862.68,2,535.33,0.0,0.31,3,17,173
68,5821.47,74,0.74,876.42,2,335.72,1.0,0.37,3,11,97
43,3509.58,48,0.54,395.0,3,208.0,1.0,0.33,5,6,163
65,5839.43,36,0.0,769.29,2,254.01,1.0,0.16,5,8,201
38,4519.65,40,0.62,668.57,1,182.91,0.0,0.51,3,6,196
71,5992.0,21,0.17,956.68,1,287.63,1.0,0.54,3,9,251
73,5957.77,41,0.47,840.97,2,400.82,0.0,0.61,4,13,190
56,3221.43,57,0.66,587.48,2,307.84,0.0,0.41,4,10,131
47,4706.48,51,0.27,713.26,3,591.41,0.0,0.39,5,19,152
25,4950.29,52,0.36,760.77,1,295.34,0.0,0.51,5,9,160
68,7157.09,48,0.0,1129.86,1,401.93,0.0,0.49,4,13,172
37,5474.38,12,0.16,707.46,1,241.79,0.0,0.48,2,8,270
65,5625.84,61,0.36,753.79,5,448.09,1.0,0.34,3,14,126
49,5651.75,35,0.45,806.17,1,239.32,1.0,0.49,4,7,205
39,5102.99,51,0.52,755.5,1,364.94,0.0,0.38,3,12,162
24,3727.92,40,0.41,540.59,3,61.41,0.0,0.26,3,2,197
26,5189.31,36,0.57,789.91,1,241.01,0.0,0.42,3,8,196
62,4833.32,18,0.4,760.99,1,462.98,1.0,0.5,4,15,249
18,3612.31,57,0.67,523.65,3,241.01,1.0,0.44,2,8,135
46,5742.14,23,0.5,1075.27,1,324.18,0.0,0.56,4,10,235
25,3083.18,62,0.66,366.72,2,121.69,1.0,0.24,2,4,120
73,4584.19,99,0.24,702.41,6,494.58,1.0,0.17,3,16,14
71,4869.68,54,0.63,911.18,2,278.79,1.0,0.47,5,9,149
21,4284.16,3,0.55,561.45,2,192.46,1.0,0.15,5,6,310
52,7313.53,24,0.17,975.68,1,547.55,1.0,0.48,4,18,234
20,4997.81,60,0.14,862.79,3,91.67,0.0,0.42,4,3,126
71,6622.76,30,0.41,1111.51,3,425.75,1.0,0.55,3,14,228
62,7045.98,20,0.2,950.08,1,166.42,1.0,0.46,4,5,241
57,5569.41,93,0.03,866.52,4,550.08,1.0,0.45,3,18,21
24,3342.16,4,0.54,621.03,1,138.01,0.0,0.34,4,4,292
44,4698.64,67,0.4,673.63,3,554.46,1.0,0.37,2,18,105
18,3452.47,95,0.58,589.78,5,284.95,0.0,0.23,3,9,16
44,3796.91,4,0.48,675.33,1,317.67,1.0,0.37,2,10,296
33,4111.65,15,0.49,716.95,1,333.81,0.0,0.4,1,11,263
55,3640.09,90,0.74,542.08,3,220.79,1.0,0.37,4,7,48
24,3637.38,11,0.53,320.7,1,110.3,0.0,0.01,5,3,281
61,5342.27,64,0.22,598.54,4,239.61,0.0,0.33,3,7,124
40,4427.07,65,0.48,700.07,3,594.42,0.0,0.34,3,19,124
58,7002.89,71,0.34,1102.78,1,420.6,0.0,0.71,3,14,91
28,4320.32,42,0.61,785.04,1,142.68,0.0,0.3,1,4,193
59,7124.66,97,0.0,1059.53,3,447.54,0.0,0.38,4,14,28
70,4427.58,24,0.19,588.5,1,423.99,1.0,0.38,3,14,234
50,5876.36,97,0.0,1008.43,4,428.78,1.0,0.39,5,14,24
67,5893.97,45,0.35,959.23,2,220.72,0.0,0.37,4,7,169
53,5022.55,0,0.59,738.38,1,441.27,0.0,0.42,2,14,310
54,3834.37,77,0.51,405.79,2,459.94,1.0,0.1,1,15,82
58,5660.24,31,0.32,888.13,1,206.21,0.0,0.48,4,6,211
34,6634.28,60,0.0,1144.36,3,445.8,0.0,0.48,4,14,124
52,5520.63,28,0.53,1006.17,1,363.06,0.0,0.56,5,12,233
65,5553.78,47,0.15,828.33,2,323.27,0.0,0.4,3,10,174
22,4028.68,82,0.72,695.32,4,219.92,1.0,0.37,4,7,66
65,6189.64,93,0.11,912.77,3,246.22,0.0,0.38,4,8,29
49,6522.61,22,0.51,1066.64,2,551.52,1.0,0.54,4,18,236
20,3430.28,68,0.29,597.33,3,203.94,0.0,0.33,3,6,101
69,5944.97,86,0.05,714.05,4,314.04,1.0,0.45,3,10,52
64,5564.83,98,0.54,829.43,3,501.27,1.0,0.33,4,16,8
52,4624.39,52,0.65,553.59,3,302.45,1.0,0.17,5,10,159
69,5956.17,70,0.2,949.6,3,281.7,1.0,0.44,2,9,90
31,5770.64,94,0.01,867.93,4,440.04,1.0,0.41,4,14,26
65,4947.97,77,0.0,776.62,3,264.73,1.0,0.16,1,8,85
48,5288.43,90,0.62,863.68,3,442.32,0.0,0.48,4,14,35
48,5322.53,86,0.42,842.22,2,424.49,0.0,0.35,4,14,55
34,4350.19,25,0.49,703.4,1,205.89,0.0,0.45,4,6,229
41,5070.39,70,0.23,894.32,1,476.23,1.0,0.65,4,15,103
69,6146.74,20,0.15,911.41,1,235.81,1.0,0.52,3,7,254
40,3685.66,87,0.71,608.3,4,367.7,1.0,0.24,4,12,42
35,4339.88,80,0.23,536.16,4,91.78,0.0,0.26,4,3,72
67,5664.76,59,0.46,816.34,3,372.46,1.0,0.34,4,12,137
71,4790.98,54,0.53,888.16,1,349.26,0.0,0.5,4,11,156
31,4298.96,72,0.78,544.82,4,554.2,0.0,0.36,4,18,91
67,5652.42,78,0.4,926.14,5,427.08,1.0,0.48,4,14,80
32,6303.3,67,0.39,1069.2,3,394.37,0.0,0.63,3,13,111
32,3455.35,87,0.28,538.49,5,343.68,0.0,0.08,3,11,56
23,4920.35,94,0.34,772.47,3,89.75,0.0,0.48,4,2,22
44,5233.3,11,0.33,656.87,1,273.66,1.0,0.42,4,9,268
32,5312.98,7,0.41,898.09,1,414.2,1.0,0.4,5,13,287
67,4878.77,16,0.41,672.74,2,516.01,1.0,0.61,5,17,267
53,3237.37,42,0.8,536.61,2,229.34,1.0,0.42,5,7,182
72,5772.64,8,0.31,911.39,1,484.64,1.0,0.53,5,16,293
25,4770.6,16,0.23,558.29,1,271.03,0.0,0.17,3,9,263
32,3958.48,15,0.3,589.39,1,336.5,0.0,0.12,4,11,268
20,3652.58,50,0.85,472.6,2,178.09,0.0,0.32,4,5,153
64,7535.44,34,0.12,1139.02,1,379.23,0.0,0.67,4,12,204
30,3472.5,51,0.59,640.66,2,376.48,0.0,0.21,3,12,150
58,6245.42,76,0.27,990.02,3,528.04,1.0,0.51,4,17,84
51,4059.15,11,0.53,627.88,1,299.68,1.0,0.26,4,9,267
41,5790.16,93,0.22,931.68,3,458.77,0.0,0.33,5,15,38
57,5210.19,66,0.47,695.68,3,300.08,0.0,0.22,4,10,107
49,5448.33,68,0.52,895.45,2,476.23,1.0,0.55,4,15,111
49,4317.46,12,0.63,638.11,1,367.65,0.0,0.4,5,12,269
47,4974.18,12,0.37,509.66,1,411.7,1.0,0.44,4,13,266
69,5928.76,27,0.05,1036.81,1,433.68,1.0,0.45,3,14,226
66,4226.38,46,0.21,619.4,1,513.06,0.0,0.33,4,17,177
30,3706.69,43,0.73,490.53,2,302.83,0.0,0.2,4,10,171
18,3987.19,62,0.4,812.65,4,165.34,1.0,0.45,3,5,123
51,4286.24,68,0.49,678.28,3,252.54,1.0,0.28,4,8,96
32,4455.36,19,0.27,545.57,2,394.08,0.0,0.26,3,13,254
61,5254.87,91,0.38,712.54,4,645.29,1.0,0.41,3,21,43
31,4834.36,35,0.62,736.76,1,321.69,0.0,0.33,2,10,206
74,5791.53,44,0.54,1008.87,1,359.27,0.0,0.53,4,11,175
46,7220.88,81,0.0,1065.65,4,449.07,1.0,0.37,3,14,67
51,3070.59,56,0.76,502.18,3,448.36,1.0,0.27,2,14,137
35,3606.98,86,0.37,640.28,4,406.07,0.0,0.32,4,13,51
71,6518.09,90,0.54,927.58,4,202.93,0.0,0.44,3,6,32
24,4145.6,1,0.87,615.05,1,259.95,0.0,0.25,4,8,306
46,5276.31,41,0.42,819.95,2,373.36,0.0,0.33,3,12,182
72,2673.11,49,0.69,334.31,1,375.8,1.0,0.14,4,12,154
48,4737.92,30,0.37,640.62,1,282.14,0.0,0.41,4,9,223
42,4686.19,81,0.71,787.13,3,427.93,0.0,0.38,3,14,57
55,5808.41,47,0.31,987.1,2,442.8,0.0,0.51,5,14,178
31,4595.57,86,0.48,681.57,6,558.95,0.0,0.43,4,18,42
25,4013.04,79,0.45,590.96,5,290.85,0.0,0.34,3,9,79
44,4657.94,25,0.43,680.77,1,276.83,1.0,0.39,2,9,230
71,4580.43,24,0.53,657.4,1,477.2,1.0,0.37,2,15,246
19,4105.03,34,0.57,546.42,1,93.36,0.0,0.3,5,3,214
34,4236.98,85,0.65,430.13,6,444.0,1.0,0.14,5,14,48
54,4728.18,72,0.46,536.47,2,302.32,0.0,0.37,3,10,86
31,4226.88,33,0.44,730.72,1,308.78,1.0,0.57,5,10,215
42,4320.24,44,0.52,806.22,1,525.91,0.0,0.33,4,17,179
73,4472.88,22,0.49,575.27,1,489.46,0.0,0.5,3,16,250
47,5536.91,90,0.17,832.61,5,430.48,1.0,0.44,2,14,30
46,6711.85,73,0.0,1007.66,2,502.01,0.0,0.4,4,16,94
37,4757.25,15,0.21,686.13,1,381.1,0.0,0.41,4,12,268
38,4815.37,3,0.15,698.04,1,413.27,0.0,0.41,4,13,297
70,7299.56,53,0.27,1154.19,3,353.25,1.0,0.7,2,11,150
39,6463.17,94,0.01,1129.82,5,249.47,1.0,0.42,2,8,31
52,4904.25,67,0.67,776.02,4,348.21,0.0,0.38,5,11,104
54,4437.78,52,0.3,725.56,3,273.48,0.0,0.42,4,9,151
33,4756.47,13,0.53,714.79,1,317.1,0.0,0.48,5,10,268
67,5837.52,79,0.65,970.56,5,373.89,1.0,0.45,1,12,80
66,6606.2,82,0.29,1074.43,4,487.04,0.0,0.43,3,16,72
60,5403.73,2,0.71,765.63,2,0.12,1.0,0.29,3,0,309
34,4436.75,41,0.26,716.3,2,571.89,0.0,0.42,4,19,180
33,3359.67,66,0.82,446.73,3,139.81,0.0,0.06,3,4,116
72,6901.34,49,0.0,1021.85,2,562.2,1.0,0.54,4,18,160
19,3124.64,19,0.81,347.94,1,202.22,0.0,0.17,5,6,258
21,2646.6,54,0.66,644.17,2,137.7,0.0,0.41,4,4,146
38,1867.48,65,0.81,552.14,4,405.91,1.0,0.15,5,13,105
56,5138.82,83,0.35,843.75,4,693.31,0.0,0.37,5,23,64
51,4329.62,52,0.4,703.56,2,390.4,1.0,0.35,4,13,147
47,4646.3,25,0.44,697.92,1,373.57,0.0,0.24,4,12,242
23,3431.27,18,0.66,417.12,1,127.63,0.0,0.09,5,4,248
34,3994.7,62,0.2,533.75,3,573.84,0.0,0.17,3,19,120
56,4416.52,32,0.39,711.84,1,260.77,1.0,0.54,3,8,216
42,3932.09,97,0.64,687.17,6,386.65,1.0,0.27,4,12,9
22,2930.88,27,0.67,394.43,1,279.33,1.0,0.0,4,9,236
22,3683.31,47,0.73,645.93,1,151.45,1.0,0.05,1,5,176
37,3334.81,52,0.29,420.85,4,598.39,0.0,0.2,3,19,161
33,5577.82,55,0.36,863.17,3,460.06,0.0,0.53,5,15,145
68,5710.94,48,0.44,927.61,1,178.88,1.0,0.52,4,5,157
58,3784.58,77,0.47,776.64,3,132.43,1.0,0.4,4,4,78
54,5379.78,62,0.25,888.77,4,560.93,1.0,0.56,4,18,133
57,4381.87,13,0.72,590.37,1,349.46,1.0,0.25,4,11,261
26,5084.94,28,0.0,756.95,1,265.66,0.0,0.42,4,8,217
22,3266.8,52,0.49,382.45,1,168.41,0.0,0.04,5,5,155
59,6753.36,25,0.04,1111.03,2,532.58,1.0,0.72,3,17,225
74,6959.71,32,0.25,1036.97,1,539.37,0.0,0.5,4,17,207
19,7400.23,68,0.28,1069.42,3,179.64,0.0,0.49,5,5,114
26,4137.46,65,0.7,561.04,3,177.7,1.0,0.24,5,5,116
60,6089.51,72,0.12,826.19,2,378.62,1.0,0.49,3,12,103
53,5132.6,18,0.41,702.81,1,350.59,1.0,0.33,5,11,263
39,4645.05,90,0.31,857.27,6,353.99,0.0,0.31,5,11,46
39,5792.98,58,0.48,866.35,3,608.57,0.0,0.46,5,20,134
39,5332.55,90,0.39,986.11,5,260.78,1.0,0.44,3,8,36
51,4947.9,89,0.37,687.52,3,452.01,0.0,0.28,3,15,42
72,7200.86,77,0.14,1205.75,4,349.29,1.0,0.53,3,11,73
46,5841.28,2,0.46,790.75,1,374.1,0.0,0.29,3,12,313
55,6756.56,57,0.22,1142.96,3,419.94,1.0,0.81,4,13,142
63,6740.31,20,0.1,1111.01,1,378.12,1.0,0.56,4,12,241
50,4646.56,45,0.38,694.06,1,550.21,0.0,0.27,5,18,168
35,3939.49,39,0.65,446.37,1,482.14,0.0,0.2,2,16,195
24,3534.52,71,0.35,600.11,4,96.58,0.0,0.26,4,3,103
18,4500.88,69,0.63,690.95,3,109.74,1.0,0.06,4,3,95
50,6342.9,65,0.0,868.29,2,385.54,0.0,0.3,4,12,121
18,4778.33,56,0.42,840.84,2,151.18,0.0,0.34,5,5,137
41,3211.93,5,0.47,515.29,1,536.84,1.0,0.21,5,17,286
21,3125.48,58,1.0,486.99,2,191.1,0.0,0.19,5,6,137
21,4523.25,38,0.0,679.54,3,185.54,0.0,0.38,5,6,187
35,5628.99,74,0.23,761.7,1,387.01,0.0,0.52,4,12,90
44,5068.11,68,0.23,774.93,3,453.41,0.0,0.37,5,15,99
60,6927.99,73,0.3,1028.21,3,576.53,0.0,0.53,4,19,96
49,3069.38,51,0.87,574.71,1,278.92,0.0,0.46,5,9,154
50,4790.65,37,0.38,637.08,1,336.25,1.0,0.36,5,11,192
45,6217.14,70,0.0,1000.41,4,361.74,1.0,0.56,3,12,106
59,5699.14,99,0.67,766.86,3,259.18,0.0,0.45,3,8,21
58,4514.96,81,0.64,665.79,3,283.0,1.0,0.17,3,9,61
72,6669.84,73,0.53,1026.01,3,9.72,0.0,0.58,5,0,84
53,5257.41,56,0.31,782.81,3,203.67,1.0,0.36,5,6,150
23,3458.03,6,0.63,608.5,1,225.76,0.0,0.33,2,7,295
33,2748.38,35,0.55,391.39,1,519.27,0.0,0.25,5,17,195
51,5736.25,94,0.0,921.26,3,304.41,1.0,0.5,4,10,31
40,3513.28,49,0.48,518.43,1,363.54,1.0,0.27,5,12,157
67,7822.18,71,0.0,1106.64,4,504.91,0.0,0.59,4,16,106
59,3577.54,39,0.53,662.06,2,376.18,1.0,0.29,4,12,202
41,4694.81,73,0.1,845.13,2,489.47,1.0,0.53,5,16,89
73,6671.55,39,0.29,1020.25,3,440.34,1.0,0.54,3,14,189
66,4622.97,50,0.49,606.28,3,337.79,0.0,0.2,3,11,157
30,3490.47,91,0.14,505.81,3,451.56,0.0,0.1,5,15,40
73,6770.21,89,0.0,1005.87,4,278.08,0.0,0.49,3,9,41
35,3449.29,19,0.4,581.11,1,326.39,0.0,0.46,2,10,260
71,7760.63,1,0.19,1320.93,1,352.66,1.0,0.58,3,11,301
30,4255.64,86,0.9,815.47,5,486.39,0.0,0.31,4,16,55
66,5220.5,22,0.14,743.91,1,516.55,1.0,0.2,4,17,235
54,6782.13,80,0.04,1077.22,3,346.96,0.0,0.48,5,11,72
60,4341.42,40,0.2,748.34,3,517.12,1.0,0.36,5,17,196
56,6969.76,56,0.09,1065.0,2,422.56,1.0,0.61,5,14,137
59,4377.62,20,0.41,689.85,1,306.9,0.0,0.43,5,10,249
34,5619.49,38,0.49,975.73,1,397.16,0.0,0.48,4,13,192
32,6144.41,25,0.0,860.99,1,259.27,0.0,0.5,2,8,233
35,4296.02,94,0.66,689.08,3,440.54,1.0,0.42,3,14,19
40,4492.83,71,0.59,760.67,1,172.02,0.0,0.41,1,5,92
71,5554.92,50,0.19,711.85,3,371.57,1.0,0.4,4,12,158
68,4938.1,70,0.23,580.35,5,499.09,0.0,0.27,4,16,107
47,4964.8,20,0.33,785.66,1,395.41,1.0,0.28,3,13,250
51,5946.74,57,0.1,1066.27,2,432.17,1.0,0.4,1,14,132
21,4427.99,49,0.38,704.04,3,201.71,0.0,0.38,5,6,161
20,4308.64,22,0.1,621.17,1,127.47,0.0,0.35,4,4,250
24,3226.5,76,0.53,466.09,3,79.58,0.0,0.26,3,2,73
73,4842.35,41,0.31,721.1,2,325.01,1.0,0.44,4,10,187
35,6167.84,41,0.26,1075.74,1,472.86,0.0,0.58,4,15,181
59,4025.02,91,0.75,649.35,5,355.85,1.0,0.11,5,11,36
24,3808.13,39,0.49,724.95,1,89.16,0.0,0.35,5,2,183
57,6032.31,26,0.05,1050.35,1,303.35,1.0,0.54,4,10,222
23,5441.13,95,0.0,923.03,5,204.02,0.0,0.51,3,6,31
39,4581.44,19,0.54,518.76,1,413.7,0.0,0.19,4,13,255
18,3994.35,61,0.55,684.61,3,247.64,0.0,0.28,2,8,122
21,3367.46,12,0.56,497.59,1,135.72,1.0,0.26,4,4,271
63,7250.83,41,0.13,1007.87,1,338.27,1.0,0.42,3,11,185
66,7012.3,65,0.29,1014.94,4,471.25,1.0,0.42,3,15,109
69,4759.54,42,0.47,688.65,1,512.23,1.0,0.32,3,17,191
67,6336.3,82,0.27,1044.32,5,284.71,1.0,0.35,3,9,67
60,5284.0,48,0.63,688.71,2,471.91,1.0,0.34,4,15,156
46,5152.37,78,0.37,643.57,5,507.96,0.0,0.35,4,16,77
38,3718.65,90,0.4,489.09,3,502.05,0.0,0.16,1,16,47
43,2765.72,11,0.92,486.63,1,363.86,1.0,0.15,3,12,272
31,3131.4,39,0.5,356.33,1,287.96,0.0,0.21,3,9,199
26,3484.4,73,0.32,326.27,2,172.9,0.0,0.23,4,5,97
64,5061.22,91,0.45,714.1,5,222.15,0.0,0.42,4,7,38
29,1816.51,67,0.9,219.03,4,237.12,1.0,0.19,5,7,116
59,5671.41,3,0.13,886.69,2,284.6,1.0,0.68,4,9,306
68,4310.6,91,0.63,714.41,6,499.74,1.0,0.21,5,16,46
73,5880.81,41,0.26,909.77,1,530.15,0.0,0.36,4,17,194
68,4536.11,92,0.34,784.48,5,676.95,0.0,0.37,4,22,33
23,2130.7,11,0.74,363.89,1,181.25,0.0,0.09,2,6,279
37,4430.23,21,0.32,677.68,1,298.1,0.0,0.33,4,9,248
41,4439.49,67,0.44,533.69,1,484.47,1.0,0.36,2,16,99
44,4854.52,88,0.73,663.93,4,448.08,0.0,0.4,5,14,41
55,6796.22,71,0.08,877.2,4,300.94,1.0,0.45,4,10,87
25,4709.75,92,0.34,590.79,3,183.17,0.0,0.26,3,6,31
18,5690.96,70,0.12,889.57,3,216.7,0.0,0.54,4,7,98
71,5532.95,7,0.22,751.17,1,259.63,0.0,0.64,4,8,286
66,4918.33,17,0.13,851.83,1,554.64,1.0,0.66,5,18,262
66,6098.67,89,0.15,1135.57,3,251.27,1.0,0.58,3,8,38
41,6498.37,59,0.05,847.75,3,478.74,0.0,0.38,3,15,126
64,4441.07,72,0.4,814.16,4,308.53,1.0,0.35,5,10,99
24,5360.16,60,0.12,830.37,3,284.71,1.0,0.32,4,9,120
36,4915.1,99,0.88,748.86,6,620.25,0.0,0.35,2,20,4
39,4118.76,30,0.32,487.13,1,401.38,0.0,0.2,4,13,218
74,7463.28,5,0.0,928.17,1,106.45,1.0,0.51,1,3,285
72,4680.38,99,0.47,680.82,3,514.0,0.0,0.11,5,17,9
52,5747.58,78,0.36,979.36,5,668.67,0.0,0.39,4,22,72
47,4694.45,17,0.56,683.76,2,561.09,0.0,0.36,4,18,265
46,5957.46,53,0.2,780.79,2,402.13,1.0,0.53,5,13,150
39,4894.92,39,0.22,730.66,2,410.52,1.0,0.4,5,13,197
28,5217.08,50,0.64,889.11,1,260.32,0.0,0.41,1,8,169
37,4528.19,73,0.26,714.02,3,539.4,0.0,0.41,4,17,84
46,4405.12,71,0.41,651.91,4,368.47,0.0,0.47,4,12,97
68,5639.12,88,0.31,907.02,4,534.52,1.0,0.44,3,17,50
58,5502.97,97,0.44,817.33,5,338.61,0.0,0.34,5,11,11
59,5712.34,35,0.37,1009.05,2,313.37,0.0,0.36,1,10,200
51,5722.38,5,0.17,878.42,1,444.34,0.0,0.32,4,14,287
18,3736.51,22,0.57,489.38,1,120.15,0.0,0.37,3,4,244
48,5599.65,47,0.0,936.59,2,389.59,1.0,0.54,5,12,177
47,7098.83,99,0.55,821.12,4,405.15,1.0,0.39,3,13,16
65,4876.02,19,0.23,767.25,1,585.28,0.0,0.34,3,19,262
35,5404.66,60,0.5,760.55,2,251.0,1.0,0.38,4,8,122
72,5199.21,86,0.16,701.1,5,372.33,0.0,0.4,4,12,52
34,3416.55,54,0.7,436.88,2,514.67,0.0,0.12,2,17,145
55,6635.56,86,0.0,914.2,3,325.19,1.0,0.44,3,10,42
31,3339.23,35,0.76,446.42,3,337.82,0.0,0.23,3,11,200
40,4574.72,44,0.81,602.27,2,429.66,1.0,0.47,2,14,171
42,3879.79,85,0.53,557.06,6,581.95,0.0,0.33,5,19,54
32,6698.16,86,0.28,1007.34,3,576.71,1.0,0.5,4,19,49
63,5491.69,41,0.51,708.48,2,361.86,0.0,0.43,5,12,191
73,4819.35,72,0.28,621.75,3,318.69,0.0,0.32,3,10,96
39,3691.92,28,0.73,523.95,1,404.73,0.0,0.14,3,13,233
20,5921.64,20,0.17,938.9,2,172.76,0.0,0.41,3,5,258
73,5705.78,61,0.72,721.84,2,381.08,1.0,0.37,4,12,120
72,5798.31,36,0.03,757.07,1,399.99,0.0,0.37,3,13,201
36,5924.41,36,0.29,917.4,2,226.28,0.0,0.35,2,7,205
74,7233.51,29,0.0,1056.64,1,451.65,0.0,0.33,4,15,227
61,4561.68,66,0.67,599.65,3,523.65,0.0,0.42,4,17,120
51,4244.53,32,0.97,554.19,1,355.69,1.0,0.25,4,11,214
52,4527.09,60,0.49,599.14,2,196.14,1.0,0.49,3,6,138
67,5352.88,47,0.72,698.33,1,369.25,0.0,0.28,3,12,168
18,4552.31,42,0.6,793.49,3,253.96,0.0,0.35,5,8,178
69,5673.09,79,0.63,779.33,3,306.9,1.0,0.42,2,10,70
38,4213.78,27,0.64,573.87,1,387.99,0.0,0.2,4,12,237
46,4845.02,19,0.75,813.09,1,346.15,0.0,0.34,4,11,246
23,3354.66,42,0.9,420.38,1,160.47,0.0,0.08,3,5,174
54,6715.86,73,0.06,1160.63,2,523.08,1.0,0.4,4,17,99
18,3023.22,27,0.53,433.9,1,128.27,0.0,0.21,4,4,223
68,5746.78,99,0.24,989.02,4,481.74,1.0,0.51,2,16,6
18,4337.47,7,0.33,640.69,1,67.63,0.0,0.27,4,2,289
44,5434.87,87,0.43,919.03,5,650.24,1.0,0.44,5,21,46
38,4130.86,64,0.78,770.3,1,508.78,0.0,0.41,4,16,117
70,6896.46,16,0.24,1072.3,1,440.05,1.0,0.63,1,14,269
33,6463.11,59,0.13,921.47,3,591.18,0.0,0.52,3,19,133
61,7242.17,19,0.14,1014.66,1,499.29,1.0,0.3,3,16,246
71,3360.06,12,0.19,549.72,1,634.39,0.0,0.44,5,21,266
57,5196.74,12,0.12,788.81,1,526.44,1.0,0.31,2,17,281
43,4058.15,30,0.43,534.23,2,395.59,1.0,0.17,4,13,216
33,4876.12,21,0.49,843.69,1,290.48,0.0,0.26,4,9,239
45,5852.11,14,0.22,861.09,1,359.75,1.0,0.28,5,11,276
18,2570.76,78,0.72,233.78,3,261.75,0.0,0.15,5,8,66
53,5987.94,97,0.2,888.69,4,342.16,1.0,0.39,3,11,22
27,4053.51,46,0.41,583.59,3,173.63,1.0,0.29,4,5,166
60,5137.6,35,0.13,824.15,1,460.68,0.0,0.27,5,15,199
34,4888.64,95,0.48,454.93,6,45.47,0.0,0.31,5,1,29
74,5814.76,12,0.18,703.35,1,364.17,1.0,0.05,5,12,268
40,5732.88,83,0.31,1012.18,5,452.39,1.0,0.52,5,15,61
24,3566.18,24,0.43,531.45,2,210.19,0.0,0.24,3,7,232
61,6773.39,52,0.27,996.39,3,219.73,0.0,0.34,4,7,162
70,5778.82,85,0.3,918.11,5,428.45,1.0,0.56,3,14,49
24,1582.65,66,0.86,133.36,4,143.95,1.0,0.12,5,4,118
61,4636.94,40,0.27,667.11,2,376.47,1.0,0.43,5,12,186
32,4175.48,28,0.31,624.09,1,376.29,0.0,0.23,4,12,224
51,5409.59,40,0.39,696.27,1,407.85,1.0,0.38,5,13,195
63,5421.34,67,0.04,757.05,2,539.62,1.0,0.35,4,17,109
